id	word	token	category	table_name	column_name	alias	dotted_name	function_call	pseudocolumn	notes
kw_241	REF	2200	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_242	REFERENCE	2284	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_243	REFERENCES	2201	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_244	REFRESH	2202	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_245	REJECT	2203	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_246	RELY	2204	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_247	RENAME	2205	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_248	REPLACE	2206	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_249	RESTRICT	2207	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_250	RESULT_CACHE	2208	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_251	RETURN	2209	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
